CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HX322337,06/28/2014 11:25:00 AM2014.06.28 at 11:25,030XX W POLK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,Y,Y,1134,28,08B,1156023,1896169,41.870876,-87.70265
HX322350,06/28/2014 11:20:00 AM2014.06.28 at 11:20,018XX W 85TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,614,18,08B,1165259,1848263,41.739227,-87.670105
HX322353,06/28/2014 11:00:00 AM2014.06.28 at 11:00,023XX W POLK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1225,2,08B,1160791,1896414,41.871452,-87.68514
HX322354,06/28/2014 10:41:00 AM2014.06.28 at 10:41,014XX W SHERWIN AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,Y,2423,49,05,1165475,1948719,42.01488,-87.66645
HX322370,06/28/2014 11:00:00 AM2014.06.28 at 11:00,028XX W 24TH BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,1033,12,26,1157445,1887749,41.847744,-87.69766
HX322393,06/28/2014 05:30:00 AM2014.06.28 at 05:30,013XX N LOREL AVE,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,APARTMENT,Y,Y,2532,37,02,1140432,1908494,41.905,-87.75959
HX322431,06/28/2014 09:00:00 AM2014.06.28 at 09:00,032XX N RIDGEWAY AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1732,30,26,1150772,1921614,41.940807,-87.72127
HX322435,06/28/2014 12:30:00 PM2014.06.28 at 12:30,110XX S PERRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,513,34,14,0,0,0.0,0.0
HX322453,06/28/2014 01:00:00 PM2014.06.28 at 13:00,045XX W DIVERSEY AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,Y,2521,31,26,1145721,1918191,41.93151,-87.73992
HX322455,06/28/2014 12:20:00 PM2014.06.28 at 12:20,008XX W 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,621,17,08B,1172223,1852515,41.750744,-87.64446
